ID,ExternalOr gID,Region,Country,City/State,Partner University,
1,4193,Africa,Morocco,Casablanca,ESCA School of Management,
2,4349,Africa,South Africa,Pretoria,"University of Pretoria, Law",
3,4194,Africa,South Africa,Pretoria,"University of Pretoria, South Africa",
4,4378,Asia,China,Beijing,China University of Political Science and Law,
5,4280,Asia,China,Shanghai,"Fudan University, School of Economics",
6,4037,Asia,China,Shanghai,"Fudan University, School of Management",
7,4279,Asia,China,Shanghai,"Fudan University, School of Social Development and Public Policy",
8,4278,Asia,China,Shanghai,"Fudan University, School of Software",
9,4197,Asia,China,Jilin,Jilin University,
10,4423,Asia,China,Nanjing,Nanjing University ,
11,4068,Asia,China,Tianjin,Nankai University,
12,4399,Asia,China,Beijing,Peking University (Guanghua School of Management),
13,4191,Asia,China,Beijing,Peking University (Law School),
14,4400,Asia,China,Beijing,Peking University (School of International Studies),
15,4202,Asia,China,Beijing,Renmin University (School of Business),
16,4368,Asia,China,Beijing,Renmin University of China,
17,4414,Asia,China,Beijing,Renmin University of China (School of Law),
18,4081,Asia,China,Shanghai,Shanghai Jiao Tong University,
19,4241,Asia,China,Shanghai,Shanghai Jiaotong University (KoGuan Law School),
20,4281,Asia,China,Shanghai,Shanghai University of Finance & Economics,
21,4329,Asia,China,Chengdu,"Southwestern University of Finance and Economics (Research Institute of
Economics and Management)",
22,4085,Asia,China,Guangzhou,"Sun Yat Sen University, Business School",
23,4287,Asia,China,Guangzhou,"Sun Yat Sen University, School of Government",
24,4282,Asia,China,Beijing,"Tsinghua University, School of Economics and Management",
25,4283,Asia,China,Beijing,"Tsinghua University, School of Law",
26,4284,Asia,China,Beijing,"Tsinghua University, School of Social Sciences",
27,4114,Asia,China,Wuhan,Wuhan University,
28,4415,Asia,China,Xi'an,Xi’an Jiaotong University,
29,4115,Asia,China,Xiamen,Xiamen University,
30,4118,Asia,China,Hangzhou,Zhejiang University,
31,4179,Asia,India,Hyderabad,NALSAR University of Law,
32,4178,Asia,India,Bangalore,National Law School of India University,
33,4324,Asia,Indonesia,Yogyakarta,Universitas Gadjah Mada,
34,4243,Asia,Japan,Tokyo,Chuo University,
35,4199,Asia,Japan,Kyoto,Doshisha University,
36,4363,Asia,Japan,Kyoto,"Graduate School of Economics and Faculty of Economics, Kyoto University",
37,4213,Asia,Japan,Tokyo,Hitotsubashi University,
38,4344,Asia,Japan,Tokyo,"Hitotsubashi University, Graduate School of International Corporate Strategy",
39,4398,Asia,Japan,Hokkaido,Hokkaido University,
40,4053,Asia,Japan,Osaka,Kansai Gaidai University,
